CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1Pro 3 ; Serial number 0"
DESCRIPTOR	"Chart 2033 Patches"
FILTER	""
CREATED		"2025-04-06T20:23:11"

NUMBER_OF_FIELDS	5
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	
END_DATA_FORMAT

NUMBER_OF_SETS	2033
BEGIN_DATA
149	-	  139.09	  148.75	  162.27	
150	-	   46.36	   42.50	  255.00	
151	-	  115.91	   21.25	  208.64	
152	-	   23.18	  106.25	  208.64	
153	-	  231.82	   85.00	  139.09	
154	-	    0.00	   21.25	  185.45	
155	-	   69.55	   63.75	   46.36	
156	-	   46.36	  255.00	  231.82	
157	-	    0.00	  127.50	  231.82	
158	-	  185.45	  127.50	  255.00	
159	-	   69.55	  191.25	  115.91	
160	-	   46.36	  191.25	   23.18	
161	-	   46.36	  127.50	  139.09	
162	-	   23.18	    0.00	  139.09	
163	-	   92.73	   42.50	   23.18	
164	-	  255.00	  191.25	   92.73	
165	-	  162.27	  233.75	   92.73	
166	-	  208.64	  233.75	   46.36	
167	-	    0.00	   42.50	   69.55	
168	-	  151.79	  151.79	  151.79	
169	-	  231.82	  170.00	  139.09	
170	-	  231.82	  127.50	   92.73	
171	-	   23.18	  148.75	   23.18	
172	-	  162.27	   42.50	  208.64	
173	-	  139.09	  233.75	  162.27	
174	-	  185.45	   63.75	  115.91	
175	-	   69.55	  127.50	  231.82	
176	-	  208.64	   85.00	  255.00	
177	-	    0.00	    0.00	  208.64	
178	-	   23.18	  170.00	  208.64	
179	-	  162.27	  191.25	  115.91	
180	-	   23.18	  148.75	   69.55	
181	-	  115.91	   63.75	  231.82	
182	-	   23.18	  106.25	  139.09	
183	-	   92.73	  233.75	  208.64	
184	-	   46.36	  191.25	  115.91	
185	-	   92.73	  191.25	  255.00	
186	-	   92.73	  191.25	  162.27	
187	-	   69.55	   63.75	  115.91	
188	-	  162.27	  233.75	  255.00	
189	-	  162.27	  191.25	  185.45	
190	-	  162.27	    0.00	  208.64	
191	-	   92.73	    0.00	   69.55	
