CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1Pro 3 ; Serial number 0"
DESCRIPTOR	"Chart 1586 Patches"
FILTER	""
CREATED		"2025-04-06T20:20:27"

NUMBER_OF_FIELDS	5
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	
END_DATA_FORMAT

NUMBER_OF_SETS	1586
BEGIN_DATA
1	-	  102.00	   69.55	  229.50	
2	-	  153.00	   92.73	  127.50	
3	-	   25.50	    0.00	   25.50	
4	-	  229.50	  185.45	  229.50	
5	-	    0.00	  139.09	  153.00	
6	-	  153.00	  139.09	  102.00	
7	-	  178.50	  115.91	   76.50	
8	-	    0.00	  162.27	  204.00	
9	-	   25.50	  185.45	  204.00	
10	-	  178.50	    0.00	   25.50	
11	-	  255.00	  231.82	  178.50	
12	-	  127.50	   92.73	  127.50	
13	-	  127.50	   69.55	  153.00	
14	-	  153.00	  115.91	   25.50	
15	-	  255.00	   23.18	   51.00	
16	-	  127.50	   23.18	  127.50	
17	-	  102.00	   46.36	  102.00	
18	-	   25.50	  162.27	  127.50	
19	-	  127.50	  185.45	  229.50	
20	-	   85.00	   85.00	   85.00	
21	-	  204.00	   92.73	  102.00	
22	-	   51.00	   92.73	  178.50	
23	-	   13.91	   13.91	   17.00	
24	-	   76.50	  231.82	  153.00	
25	-	  102.00	  208.64	  127.50	
26	-	  153.00	   23.18	  178.50	
27	-	  102.00	  162.27	   51.00	
28	-	  229.50	   92.73	  229.50	
29	-	  127.50	  115.91	  255.00	
30	-	  102.00	  185.45	  229.50	
31	-	  178.50	   46.36	  178.50	
32	-	  229.50	    0.00	    0.00	
33	-	    0.00	  185.45	  102.00	
34	-	   51.00	  162.27	   51.00	
35	-	   25.50	   69.55	  102.00	
36	-	  178.50	  162.27	   76.50	
37	-	  255.00	   69.55	  178.50	
38	-	  153.00	  185.45	   76.50	
39	-	  102.00	   92.73	   51.00	
40	-	  255.00	   69.55	  255.00	
41	-	  178.50	  208.64	  178.50	
42	-	  204.00	  139.09	  178.50	
43	-	  102.00	  115.91	  255.00	
44	-	  178.50	  231.82	   76.50	
45	-	    0.00	   69.55	  102.00	
46	-	    0.00	  185.45	   25.50	
47	-	    0.00	  255.00	  178.50	
48	-	  229.50	   92.73	  255.00	
49	-	  229.50	  185.45	   25.50	
50	-	  255.00	    0.00	  255.00	
51	-	  102.00	  185.45	   76.50	
52	-	   51.00	  231.82	  178.50	
53	-	  170.00	  139.09	  139.09	
54	-	  204.00	    0.00	   25.50	
55	-	  127.50	  115.91	  127.50	
56	-	  229.50	   92.73	  178.50	
57	-	  127.50	  255.00	  255.00	
58	-	  178.50	  185.45	   51.00	
59	-	   51.00	  185.45	   25.50	
60	-	  229.50	   69.55	  178.50	
61	-	   51.00	  162.27	    0.00	
62	-	  178.50	  255.00	  127.50	
63	-	  127.50	  115.91	   76.50	
64	-	  153.00	  162.27	   51.00	
65	-	   51.00	   23.18	   25.50	
66	-	   30.91	   30.91	   30.91	
67	-	  153.00	  231.82	  229.50	
68	-	  255.00	   46.36	  229.50	
69	-	  255.00	  185.45	   51.00	
70	-	  229.50	   23.18	  229.50	
71	-	   25.50	  139.09	    0.00	
72	-	  153.00	   23.18	   76.50	
73	-	   51.00	  208.64	    0.00	
74	-	   23.18	   23.18	   23.18	
75	-	   25.50	  115.91	   51.00	
76	-	  127.50	  139.09	   25.50	
77	-	   77.27	   77.27	   77.27	
78	-	  153.00	  208.64	  255.00	
79	-	   76.50	  185.45	   25.50	
80	-	   25.50	    0.00	  204.00	
