CTI1   

DESCRIPTOR "Argyll Calibration Target chart information 1"
ORIGINATOR "Argyll targen"
CREATED "Tue Apr  8 19:51:28 2025"
APPROX_WHITE_POINT "95.106486 100.000000 108.844025"
COLOR_REP "iRGB"
WHITE_COLOR_PATCHES "16"
BLACK_COLOR_PATCHES "16"
OFPS_PATCHES "2388"

NUMBER_OF_FIELDS 7
BEGIN_DATA_FORMAT
SAMPLE_ID RGB_R RGB_G RGB_B XYZ_X XYZ_Y XYZ_Z 
END_DATA_FORMAT

NUMBER_OF_SETS 2420
BEGIN_DATA
91 255.0000 255.0000 230.8229 91.49148 98.55422 89.80341
92 49.12450 0.000000 93.02328 4.217213 2.432421 11.36794
93 63.44721 153.0655 255.0000 32.21787 31.78291 98.98837
94 59.25781 255.0000 58.62577 38.97810 73.03781 16.95250
95 204.3993 0.000000 151.7100 31.35072 16.00261 31.59205
96 167.7550 255.0000 159.6188 58.59089 82.51669 46.46432
97 194.9047 101.8045 0.000000 27.94290 21.84529 3.604714
98 70.48653 117.8466 207.1224 21.09758 19.56373 62.06182
99 255.0000 52.70719 160.4987 49.40304 27.07624 36.64645
100 31.06476 0.000000 255.0000 19.43250 8.436769 95.15527
101 99.90530 154.4738 128.3719 21.59343 28.26389 25.52955
102 255.0000 178.9435 116.3578 60.92093 55.20216 24.77777
103 0.000000 208.3317 99.58272 25.66976 46.72111 20.36131
104 163.4191 112.7035 255.0000 39.72424 27.52769 97.77164
105 207.4272 255.0000 55.80407 62.70196 85.27801 17.69866
106 255.0000 137.8277 255.0000 68.67513 47.14468 100.0335
107 255.0000 255.0000 87.50228 78.95902 93.54203 23.79368
108 0.000000 255.0000 71.57694 37.54969 72.25824 18.82995
109 255.0000 83.76992 203.1644 55.64346 32.56989 60.26992
110 53.55515 255.0000 109.5021 40.64769 73.66874 27.40751
111 255.0000 165.0883 0.000000 55.16758 48.72327 7.359072
112 91.26256 0.000000 188.3576 14.32255 6.825218 48.73889
113 151.8266 187.3173 0.000000 31.44885 42.91014 7.486193
114 0.000000 255.0000 171.8543 43.76395 74.74355 51.56110
115 75.33482 0.000000 76.10712 5.194084 3.012664 7.958149
116 0.000000 73.02146 157.6912 9.444405 8.153202 33.83237
117 53.26417 53.53072 255.0000 21.62306 11.47267 95.62591
118 255.0000 80.18327 70.91965 45.80718 28.20771 9.782032
119 0.000000 85.74716 57.22750 5.011654 7.843411 5.972594
120 151.7237 0.000000 198.1248 23.87536 11.62565 54.82916
121 220.4668 0.000000 255.0000 48.23309 23.28645 96.50481
122 229.6214 77.33277 255.0000 53.71042 30.04447 97.52082
123 148.7737 255.0000 85.91569 50.29533 78.77034 22.11677
124 93.46532 141.6187 0.000000 15.03708 22.36779 4.385299
125 0.000000 163.7952 27.01605 14.30356 27.28975 6.401835
126 149.5545 82.31231 0.000000 16.38241 13.39950 2.583300
127 0.000000 83.39198 0.000000 4.092345 7.183826 2.030790
128 0.000000 161.5048 255.0000 31.57706 33.55567 99.36431
129 0.000000 0.000000 86.90644 2.699467 1.679680 9.951268
130 203.8003 138.5667 62.35907 35.54993 32.18770 9.765027
131 174.6778 118.8537 164.3050 31.60790 25.67875 39.07633
132 179.4957 216.8850 255.0000 61.92777 66.76375 104.1759
133 142.1795 255.0000 0.000000 47.48020 77.51082 13.32079
134 128.9096 212.0304 255.0000 51.13824 59.39014 103.3209
135 187.1239 0.000000 45.80338 21.80433 11.67075 4.503672
136 73.27937 255.0000 166.3294 45.99125 75.95141 48.98196
137 23.28710 0.000000 165.2273 8.101116 3.881220 36.54190
138 127.1345 96.81745 255.0000 31.77198 21.05549 96.94115
139 201.9509 255.0000 188.5298 69.55096 87.84451 61.56589
140 90.99223 49.28214 86.87248 8.067983 6.079109 10.51054
141 88.92400 255.0000 0.000000 40.47687 73.89988 12.99263
142 255.0000 230.9126 80.52313 71.55121 79.16172 19.98828
143 203.5959 255.0000 255.0000 78.82118 91.60325 108.0809
144 65.44682 119.5833 0.000000 9.788041 15.32680 3.302640
145 190.6524 157.9096 114.7394 37.32520 37.32014 22.08234
146 255.0000 25.85340 0.000000 42.19269 22.77711 3.034073
147 174.9524 159.2733 196.5362 40.74028 38.62903 58.20621
148 255.0000 255.0000 172.4911 84.65478 95.81998 53.79381
149 0.000000 168.6535 186.3379 23.79418 32.48675 52.06812
150 212.7824 0.000000 82.40110 29.62849 15.58478 10.29221
151 255.0000 211.0927 255.0000 82.78725 75.36498 104.7376
152 231.3170 30.38738 0.000000 34.19836 18.81388 2.690099
153 255.0000 110.2095 185.1432 56.05835 36.61019 50.50653
154 0.000000 0.000000 232.0354 15.42611 6.769534 76.98381
155 85.48056 234.7845 255.0000 51.97607 68.77894 105.0891
156 117.1028 127.4181 56.60064 16.56593 20.17370 7.663093
157 0.000000 27.76190 227.7672 15.23839 7.343275 73.99412
158 187.6100 146.0490 255.0000 49.49345 39.05112 99.48147
159 134.9257 0.000000 54.64999 11.55503 6.364192 5.015513
160 50.11861 161.3196 60.89280 15.81303 27.35093 9.663421
161 226.7427 0.000000 230.5048 46.49514 22.81363 77.32032
162 113.9689 0.000000 0.000000 7.866465 4.540372 1.321751
163 99.15203 218.4137 173.9536 38.59972 56.50971 49.36742
164 65.93341 92.41041 255.0000 24.91558 16.93983 96.50782
165 24.26314 0.000000 0.000000 1.379169 1.195501 1.017767
166 229.8730 255.0000 118.4001 71.93491 89.74254 31.49100
167 26.62062 0.000000 200.9895 11.87454 5.399750 55.99278
168 0.000000 209.4444 0.000000 23.68236 46.35839 8.560851
169 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000
170 78.99877 170.6195 255.0000 36.41079 38.48402 100.0610
171 161.0359 183.8688 96.07045 34.59613 43.22622 18.35734
172 0.000000 228.7444 230.6163 42.89861 62.02500 85.16022
173 85.65414 92.75732 157.2351 14.66801 13.06849 34.30309
174 153.7475 29.32372 0.000000 14.58937 8.664041 1.763656
175 34.07281 233.5655 0.000000 30.66411 59.34707 10.70033
176 0.000000 20.36105 0.000000 1.254028 1.507986 1.084677
177 175.4366 255.0000 208.8451 65.38150 85.42501 73.54291
178 255.0000 0.000000 24.65857 42.00027 22.12020 3.809182
179 25.96376 54.84647 0.000000 2.766277 3.907465 1.468199
180 255.0000 126.8431 130.7036 53.36047 38.65239 26.67070
181 185.5980 49.86262 255.0000 39.94648 20.68122 96.43837
182 255.0000 0.000000 94.32878 43.84517 22.85804 13.52644
183 49.50315 205.1427 255.0000 41.79784 52.09738 102.4051
184 255.0000 208.2566 224.4225 77.60230 72.18448 80.84140
185 255.0000 70.55345 96.05577 46.12598 27.29433 14.67125
186 122.3617 255.0000 50.67416 44.98682 76.15762 16.25534
187 143.1747 212.0179 0.000000 35.55944 53.42017 9.298438
188 50.98281 255.0000 195.6085 47.57701 76.42478 64.59328
189 0.000000 57.05681 32.86582 2.721330 4.010339 2.905581
190 63.82846 0.000000 44.73528 3.546240 2.259189 3.541129
191 133.0454 0.000000 255.0000 28.45495 13.08878 95.57804
192 0.000000 121.1327 58.49113 8.554104 14.87652 7.310077
193 78.26245 0.000000 145.5384 9.233394 4.655105 28.01635
194 0.000000 48.03595 113.9725 5.053536 4.297608 17.18018
195 255.0000 207.0225 26.32716 64.11527 66.31498 11.27043
196 255.0000 25.86697 51.14856 42.78786 23.01561 6.167402
197 0.000000 80.73965 255.0000 21.76523 13.93474 96.09367
198 255.0000 121.2578 47.53579 49.14954 35.85894 7.912560
199 231.9133 0.000000 0.000000 33.92015 17.97373 2.542581
200 255.0000 153.5953 202.3362 63.79961 49.03601 62.50718
201 0.000000 124.7660 141.0233 12.99335 17.36551 28.49137
202 216.8003 43.03581 54.24941 30.79383 17.55616 6.113317
203 128.5220 30.25154 0.000000 10.35758 6.516388 1.571977
204 0.000000 179.0893 82.79362 18.51588 33.56643 14.42671
205 98.30520 98.25948 72.89152 11.55516 12.75854 8.937385
206 255.0000 48.78866 233.9330 57.60342 30.08614 80.67060
207 215.5403 57.37918 182.9046 38.82316 21.70161 47.31784
208 0.000000 192.5481 24.69858 19.95255 38.62699 8.158904
209 84.13011 234.4246 99.83505 36.15166 62.27333 22.87446
210 255.0000 204.3394 156.0917 69.23776 67.34261 41.40002
211 0.000000 232.1550 255.0000 47.48465 65.36640 104.6669
212 42.12367 159.3893 184.9776 22.95973 29.63621 50.81276
213 124.7192 140.9909 0.000000 18.76194 24.15194 4.533510
214 0.000000 67.36357 102.4157 5.403684 5.974696 14.28415
215 174.0399 187.6221 0.000000 36.01589 45.36027 7.718601
216 144.1419 0.000000 142.7397 17.30116 8.839403 27.28712
217 152.3848 255.0000 56.69478 50.02055 78.73693 17.21762
218 108.0595 192.9662 39.96561 26.38206 42.05357 9.572694
219 0.000000 255.0000 202.1031 46.97232 76.02669 68.45989
220 224.8354 0.000000 178.6114 39.70918 20.03126 44.66546
221 178.3279 224.0189 180.3447 53.83984 66.47201 53.79900
222 88.53016 255.0000 211.9384 52.19778 78.58319 74.92250
223 201.3079 255.0000 110.6265 63.15577 85.26696 28.77894
224 194.9958 172.3161 255.0000 55.81788 48.96297 101.0617
225 115.2640 52.80236 201.6936 19.80509 11.33673 57.15212
226 255.0000 255.0000 116.0633 80.36017 94.10241 31.17367
227 94.23935 164.3245 175.9705 26.55181 32.86981 46.46700
228 0.000000 159.3777 208.3098 24.64966 30.19898 64.68476
229 98.19708 184.7735 0.000000 23.13799 37.83730 6.944704
230 0.000000 86.44438 208.6471 15.68136 12.19892 61.89874
231 80.23541 0.000000 221.2861 17.25470 7.881986 69.41391
232 25.89226 179.8133 0.000000 17.54110 33.45566 6.393698
233 104.2227 42.15524 30.69871 7.743995 5.674067 2.810273
234 255.0000 255.0000 0.000000 77.23538 92.85269 14.71507
235 138.4052 118.6303 255.0000 35.80258 26.50604 97.78098
236 206.7199 50.12427 0.000000 27.53357 16.36461 2.568341
237 39.69273 28.92153 0.000000 2.287701 2.306721 1.184414
238 69.56249 161.2704 156.3715 22.10731 29.98893 36.79519
239 0.000000 53.26888 178.5797 10.28665 6.750027 43.63484
240 35.38530 85.84807 110.6308 7.802754 9.053282 16.98403
241 0.000000 0.000000 133.2863 5.211301 2.684254 23.18135
242 187.3638 182.3931 66.03701 38.99463 45.17582 12.63607
243 144.9311 255.0000 255.0000 65.82531 84.90253 107.4720
244 0.000000 27.63136 55.79180 2.104234 2.085587 4.830118
245 197.4302 121.4046 255.0000 48.59827 33.59392 98.47522
246 255.0000 0.000000 226.0721 55.43139 27.49180 74.55226
247 0.000000 231.1135 148.6847 34.67003 59.77794 38.60014
248 171.8591 74.31115 166.7991 27.14623 17.31324 38.88030
249 100.7172 255.0000 119.3861 45.00720 75.85175 30.53502
250 151.1155 157.2982 160.1066 31.93581 34.01354 38.72701
251 83.79858 255.0000 255.0000 57.87831 80.80503 107.0996
252 147.2503 96.34014 79.17311 18.53325 16.06984 10.34366
253 28.09192 0.000000 25.12958 1.651739 1.315784 1.944691
254 0.000000 255.0000 23.68491 36.56522 71.86451 13.64462
255 255.0000 57.94428 47.41263 43.84172 25.24876 6.130998
256 255.0000 195.6412 52.53071 61.91981 61.22501 12.69638
257 0.000000 186.2751 109.4014 21.19655 36.98099 21.32187
258 129.1304 255.0000 178.7674 53.42090 79.64474 55.53218
259 230.4112 229.5105 0.000000 61.32107 73.48100 11.81394
260 128.0212 186.9619 203.6395 38.15111 45.01174 63.88757
261 103.8623 0.000000 232.9144 21.18649 9.725263 77.90106
262 255.0000 133.8835 221.3850 63.22743 44.08725 74.04981
263 55.46731 68.51049 36.31475 4.982738 6.099474 3.452539
264 48.84343 255.0000 140.8627 42.40175 74.34294 37.87880
265 197.9112 125.4438 0.000000 31.35074 27.50766 4.518232
266 255.0000 164.6906 92.17319 57.01675 49.34929 17.44893
267 74.80358 195.3140 255.0000 41.11997 48.39776 101.7267
268 116.0827 21.39159 255.0000 26.28557 12.37493 95.55451
269 105.4456 25.74400 0.000000 7.179915 4.720875 1.392752
270 0.000000 141.0270 230.0501 24.58267 25.52446 78.66561
271 63.35939 70.55388 160.7511 11.60278 9.001980 35.26370
272 152.9428 87.79667 255.0000 35.30535 21.72415 96.88412
273 48.67447 99.88181 0.000000 6.739290 10.63883 2.558297
274 0.000000 211.8050 200.0629 34.59096 51.64789 63.15939
275 255.0000 226.2491 131.2576 72.89726 77.66103 33.36644
276 54.00897 0.000000 125.0179 6.172801 3.243066 20.38044
277 126.6799 0.000000 86.80666 11.31373 6.121687 10.33388
278 106.8041 120.2534 255.0000 31.53102 24.58880 97.63587
279 206.8110 255.0000 212.4099 73.64654 89.63542 76.23537
280 212.1093 74.76120 150.0908 35.84559 22.00857 31.83244
281 104.0389 162.6026 255.0000 37.42528 36.85532 99.69323
282 255.0000 102.6605 138.9430 51.20883 33.43202 28.78364
283 179.7000 0.000000 206.3406 30.63746 15.00061 60.18308
284 255.0000 114.0608 72.39557 48.96551 34.44762 11.06878
285 175.4912 80.90293 0.000000 21.51898 15.89265 2.794017
286 153.5064 199.3251 119.2312 37.70665 49.66321 25.81592
287 255.0000 255.0000 255.0000 95.10649 100.0000 108.8440
288 23.06868 255.0000 26.59247 36.94784 72.05818 13.82554
289 215.7271 0.000000 49.25567 29.51197 15.63676 5.229302
290 234.2281 255.0000 0.000000 70.07390 89.16021 14.37949
291 0.000000 96.58800 35.94082 5.509076 9.513939 4.054150
292 108.9570 82.54355 220.9326 23.17979 15.43644 70.31534
293 72.44119 192.6025 0.000000 22.47249 39.96360 7.390194
294 98.44683 179.1176 97.37769 24.17210 36.41990 17.90792
295 167.9948 164.5427 101.8435 32.59383 36.66601 18.62884
296 61.51773 91.99137 158.6519 12.89161 12.04062 34.83117
297 185.3525 149.4663 183.8799 40.16063 36.10286 50.55584
298 255.0000 0.000000 170.3139 49.04340 24.93701 40.90607
299 90.81225 0.000000 26.76979 5.446447 3.270251 2.217121
300 102.5321 95.35258 0.000000 10.56807 11.99317 2.618069
301 140.8559 255.0000 209.9531 58.76810 81.99937 73.94403
302 255.0000 32.11949 255.0000 60.21586 30.22850 97.21372
303 0.000000 175.5163 131.9939 20.40073 33.19987 27.80971
304 79.02286 121.3021 76.74151 12.31750 16.78380 10.35648
305 255.0000 234.1919 255.0000 88.88632 87.56140 106.7706
306 91.56519 35.50671 150.6600 11.44007 6.651612 30.39224
