CTI1   

DESCRIPTOR "Argyll Calibration Target chart information 1"
ORIGINATOR "Argyll targen"
CREATED "Wed Apr  9 07:56:24 2025"
APPROX_WHITE_POINT "95.106486 100.000000 108.844025"
COLOR_REP "iRGB"
WHITE_COLOR_PATCHES "16"
BLACK_COLOR_PATCHES "16"
OFPS_PATCHES "3158"

NUMBER_OF_FIELDS 7
BEGIN_DATA_FORMAT
SAMPLE_ID RGB_R RGB_G RGB_B XYZ_X XYZ_Y XYZ_Z 
END_DATA_FORMAT

NUMBER_OF_SETS 3190
BEGIN_DATA
91 0.000000 50.19562 199.1181 12.35781 7.362296 55.21016
92 51.27162 0.000000 96.52558 4.479704 2.549577 12.20095
93 120.1881 66.40605 144.7367 15.68717 10.88746 28.55811
94 168.3297 255.0000 183.3770 60.96423 83.47990 58.33230
95 205.9447 0.000000 139.1471 30.81013 15.83528 26.53875
96 69.38878 128.9466 255.0000 29.09378 24.94295 97.83260
97 178.2958 102.0216 0.000000 23.95126 19.81851 3.423718
98 52.92134 255.0000 114.5814 40.89477 73.76372 28.88198
99 255.0000 47.91115 174.1396 50.45079 27.16824 43.17363
100 0.000000 192.8435 123.1360 23.39469 40.10683 25.97075
101 45.72030 0.000000 255.0000 19.97419 8.716067 95.18065
102 141.2682 140.2039 109.9981 24.02162 26.37163 19.29326
103 171.7806 139.9420 255.0000 44.94433 35.35840 99.00826
104 255.0000 154.0939 255.0000 71.15759 52.10890 100.8610
105 255.0000 255.0000 104.1035 79.71452 93.84419 27.77296
106 179.6249 255.0000 72.99112 56.14459 81.84052 19.94090
107 255.0000 129.7241 165.2121 56.44068 40.48118 41.05361
108 255.0000 164.3481 0.000000 55.03570 48.45953 7.315110
109 0.000000 255.0000 187.7686 45.36766 75.38493 60.00800
110 139.6094 210.0144 0.000000 34.46415 52.12395 9.105916
111 87.39989 0.000000 229.5718 19.01038 8.657410 75.35485
112 131.6249 0.000000 41.67781 10.77128 5.990900 3.588185
113 147.8679 0.000000 210.8729 24.69330 11.87166 62.79855
114 0.000000 114.3173 132.3221 11.13856 14.64247 24.83221
115 76.09883 216.1164 255.0000 46.17155 58.34959 103.3816
116 255.0000 84.88819 65.46607 45.99584 28.84958 9.028867
117 191.4304 48.24396 255.0000 41.30716 21.28320 96.48290
118 82.88956 79.21105 255.0000 25.17663 15.52927 96.22179
119 123.3247 255.0000 94.12259 46.54430 76.79626 23.74775
120 209.2790 0.000000 255.0000 44.98253 21.61045 96.35250
121 0.000000 124.5896 0.000000 8.209530 15.41704 3.403197
122 0.000000 150.4376 255.0000 29.73852 29.87910 98.75146
123 122.8846 119.9201 0.000000 15.71120 18.44017 3.591648
124 0.000000 0.000000 77.07869 2.329032 1.531529 8.000150
125 0.000000 192.5847 48.60912 20.33074 38.79100 10.11156
126 0.000000 71.73070 159.8780 9.548887 8.062000 34.79282
127 70.27654 0.000000 148.6990 8.867771 4.438147 29.28281
128 178.0192 80.95579 0.000000 22.09200 16.19386 2.821981
129 152.3448 255.0000 0.000000 49.28942 78.44366 13.40557
130 255.0000 255.0000 255.0000 95.10649 100.0000 108.8440
131 188.0282 0.000000 64.10457 22.45902 11.95802 6.803939
132 183.1130 210.6753 255.0000 61.21551 64.09026 103.6974
133 177.3505 181.6158 0.000000 35.51464 43.26034 7.339653
134 217.5055 255.0000 138.0335 69.42951 88.30232 38.07209
135 255.0000 198.4891 117.0751 65.11823 63.52895 26.38234
136 0.000000 69.63907 25.86334 3.329237 5.364909 2.679773
137 49.27900 255.0000 255.0000 55.54372 79.60131 106.9902
138 209.0599 135.6522 156.8058 41.72747 34.16908 36.76061
139 216.0961 0.000000 0.000000 29.06561 15.47072 2.315106
140 84.51793 140.5284 88.48466 15.79151 22.31634 13.58323
141 77.58420 255.0000 21.84739 39.62418 73.44381 13.69358
142 228.3839 255.0000 255.0000 86.07402 95.34283 108.4208
143 48.29633 101.3856 0.000000 6.865366 10.91744 2.605436
144 70.23179 255.0000 178.7570 46.95422 76.31062 55.22374
145 176.6935 156.5902 181.5965 39.06963 37.28137 49.60903
146 255.0000 78.02487 232.8293 59.06736 33.26394 80.38650
147 0.000000 0.000000 151.4494 6.566774 3.226358 30.32077
148 255.0000 214.6594 255.0000 83.67485 77.13993 105.0334
149 255.0000 52.84410 91.05685 44.95566 25.30741 13.19129
150 95.09301 87.71510 68.60446 10.16539 10.69757 7.901293
151 147.5607 93.78675 255.0000 34.82821 22.22856 97.00662
152 123.9635 145.7796 255.0000 37.23877 32.67160 98.89547
153 0.000000 0.000000 230.7534 15.24639 6.697656 76.03720
154 180.6375 56.55058 102.9509 23.63083 14.50585 15.10988
155 0.000000 229.4351 187.6633 37.81192 60.29351 57.43408
156 213.3700 0.000000 196.1268 38.15363 19.01382 54.31362
157 119.3065 0.000000 0.000000 8.573875 4.905115 1.354899
158 20.73601 0.000000 0.000000 1.300677 1.155030 1.014089
159 116.5027 0.000000 96.70642 10.31999 5.559886 12.51801
160 0.000000 42.26245 64.28004 2.753150 3.027364 6.143950
161 145.6103 255.0000 227.2753 61.83837 83.32175 85.85221
162 233.6120 0.000000 83.57505 36.03643 18.88354 10.82677
163 255.0000 232.7995 45.86909 71.10953 79.82568 15.06944
164 165.0959 65.79971 183.7149 26.83635 16.17946 47.32208
165 0.000000 232.9450 0.000000 29.83442 58.66078 10.61156
166 188.9671 203.6995 98.92125 45.30372 55.20920 20.80096
167 255.0000 0.000000 205.0064 52.74117 26.41588 60.38261
168 132.3053 194.6759 255.0000 47.58930 51.52329 101.9893
169 83.71162 0.000000 59.10402 5.378586 3.166900 5.299244
170 26.45283 230.2826 0.000000 29.52731 57.40357 10.38505
171 142.6007 46.63904 0.000000 13.13900 8.731453 1.853056
172 0.000000 108.7587 225.2207 19.87470 17.16982 73.82721
173 0.000000 39.21810 0.000000 1.725433 2.450663 1.241813
174 42.94238 64.18288 221.7503 16.83044 10.36529 70.23771
175 255.0000 178.3950 123.9224 61.26773 55.16714 27.14012
176 214.7578 159.3886 255.0000 58.88800 47.09626 100.5396
177 155.9026 169.5287 146.3872 33.86698 38.34123 33.56405
178 255.0000 0.000000 25.03460 42.00427 22.12180 3.830227
179 0.000000 103.3160 255.0000 23.70442 17.81259 96.74008
180 0.000000 35.17885 114.1745 4.617303 3.407031 17.09100
181 208.9322 81.18131 255.0000 47.81190 27.41269 97.32348
182 0.000000 255.0000 22.73949 36.55576 71.86073 13.59479
183 255.0000 0.000000 106.5058 44.43204 23.09275 16.61753
184 255.0000 74.48560 0.000000 44.28688 26.96490 3.732140
185 203.7770 255.0000 201.3094 71.47332 88.67024 69.12304
186 205.4969 104.3816 62.07011 31.86469 24.14467 8.365249
187 71.26615 21.50458 0.000000 3.866858 2.885963 1.213054
