CTI1   

DESCRIPTOR "Argyll Calibration Target chart information 1"
ORIGINATOR "Argyll targen"
CREATED "Mon Aug 11 12:25:15 2025"
APPROX_WHITE_POINT "95.106486 100.000000 108.844025"
COLOR_REP "iRGB"
TOTAL_INK_LIMIT "300.0"
WHITE_COLOR_PATCHES "4"
BLACK_COLOR_PATCHES "4"
OFPS_PATCHES "672"

NUMBER_OF_FIELDS 7
BEGIN_DATA_FORMAT
SAMPLE_ID RGB_R RGB_G RGB_B XYZ_X XYZ_Y XYZ_Z 
END_DATA_FORMAT

NUMBER_OF_SETS 680
BEGIN_DATA
348 171.0811 212.0341 207.0081 52.11539 60.67252 68.29076
147 255.0000 179.7722 77.16001 59.27590 54.80803 15.29971
569 211.2095 34.59008 135.9088 32.63316 17.66751 25.58436
474 150.0990 234.3473 23.69615 42.85977 65.94364 12.17079
89 0.000000 255.0000 44.63316 36.86720 71.98529 15.23521
225 185.7040 138.0944 23.77334 30.14998 29.38568 5.787570
246 153.5699 124.2049 217.5193 33.74196 27.06848 69.66804
415 178.5547 0.000000 167.9029 26.29281 13.23268 38.66885
582 59.76588 59.64077 236.4883 19.47288 11.12944 80.93882
425 118.4372 171.1886 209.0724 34.31307 38.30835 66.23043
340 32.22488 255.0000 40.38029 37.38754 72.26240 14.86103
136 255.0000 202.6567 224.8108 76.32442 69.54535 80.67372
619 174.6467 222.1447 168.8162 51.39870 64.60651 47.70623
451 172.4862 165.2666 90.38074 33.16261 37.21156 15.95939
30 0.000000 0.000000 105.9905 3.575247 2.029936 14.56409
441 171.1893 132.8816 173.6655 33.48884 29.18092 44.21572
651 151.5194 237.2668 85.85074 45.44873 68.33920 20.34495
1 255.0000 255.0000 255.0000 95.10649 100.0000 108.8440
321 221.0643 220.3349 255.0000 73.83939 74.22493 104.9888
612 177.8664 233.5157 233.1582 62.72651 74.17079 88.33395
525 187.9007 115.9524 228.2476 41.58561 29.48731 77.22717
85 76.42694 69.13055 0.000000 6.099537 6.768198 1.844847
241 25.58746 65.40785 108.3551 6.004924 6.080524 15.86524
223 0.000000 218.0537 154.0381 31.61453 52.97684 39.71259
216 23.59077 123.2448 158.6960 14.57608 17.73855 35.86213
378 134.8498 166.9813 180.3915 32.74284 36.71880 49.19174
192 166.5911 0.000000 131.7912 20.80203 10.73467 23.38020
309 158.2445 174.9772 46.08796 30.67157 38.76134 9.295012
527 59.18323 160.8232 189.3996 24.52164 30.75280 53.40726
172 196.8802 170.8252 149.7916 43.58571 43.67896 35.48278
479 157.8042 61.53948 22.32866 16.74971 11.59822 2.984518
106 104.2240 87.01410 76.73467 11.37050 11.20438 9.328117
319 0.000000 37.39197 149.0595 7.042902 4.484067 29.53705
452 50.71376 25.50614 224.4466 16.07371 7.751139 71.66156
88 219.5707 0.000000 144.3263 35.10229 18.00389 28.74558
281 202.3695 0.000000 111.3681 28.07510 14.62910 17.20340
636 80.55758 132.9013 175.5448 20.32742 22.37772 44.55124
166 189.0803 67.29029 197.5181 33.83888 19.74561 55.50893
62 0.000000 45.36353 71.98354 3.100442 3.348429 7.411355
250 156.0130 142.7093 121.2115 27.68826 28.73286 22.92885
96 192.3897 255.0000 174.9825 65.68473 86.01119 54.15818
371 94.03910 121.1583 24.89656 12.53543 17.00283 4.386466
11 255.0000 0.000000 0.000000 41.83017 22.05217 2.913230
640 237.8718 223.3948 183.4940 70.61091 74.83594 56.21913
572 228.6327 225.8836 30.49292 60.00960 71.31363 12.71398
383 255.0000 80.64749 184.8619 53.37327 31.28784 49.46636
3 255.0000 255.0000 255.0000 95.10649 100.0000 108.8440
677 225.7139 27.12274 50.62917 32.93799 17.97988 5.654818
286 194.8487 107.1853 146.3222 33.62979 24.98103 30.97133
449 202.4149 122.5890 201.6610 42.70402 31.61935 59.84122
320 142.3345 142.9822 167.4042 28.76676 28.94270 41.33044
382 132.8332 226.3537 255.0000 55.44367 67.10787 104.5839
438 235.0701 116.0810 183.4066 49.64059 34.28622 49.44888
507 233.6888 237.0508 68.50666 65.54017 78.67686 18.09114
567 18.82118 20.51354 13.99894 1.597661 1.680112 1.511203
283 130.5831 255.0000 80.30286 47.05318 77.12354 20.84260
324 55.41433 71.30276 88.18501 6.584047 7.015810 11.04998
426 149.4325 202.6317 170.5419 41.64226 52.37107 46.70383
446 0.000000 110.4837 214.8441 18.69678 16.99227 66.71772
476 230.5525 170.6795 232.2859 62.30464 52.24598 83.47800
51 128.6171 179.1901 155.2684 31.78384 39.93490 37.72113
614 160.1727 65.74399 220.2065 30.11881 17.37198 69.82249
478 235.4811 53.87634 139.7440 41.04641 23.03805 27.61734
252 149.2108 64.21277 153.5114 20.87119 13.29398 32.39113
615 238.7808 179.0451 199.5323 62.40670 55.17388 62.05343
547 145.7892 150.7342 19.89725 23.73783 28.90776 5.840116
480 184.1859 181.2453 227.5706 50.83007 49.44910 80.10578
205 63.50581 21.06003 122.6159 6.844216 4.002282 19.70438
419 45.52183 177.2622 103.7380 20.17257 33.77900 19.21827
603 201.2441 45.03353 97.52951 28.00423 16.05427 13.81190
536 208.4721 94.06863 91.08424 32.72782 23.03281 13.40238
397 142.8696 102.9179 178.1378 24.95679 19.54528 45.10105
408 120.3900 18.07333 44.64297 9.399943 5.597168 3.867994
357 73.37104 209.4516 0.000000 26.43239 47.77892 8.690217
637 107.4059 135.3660 237.4214 30.87587 27.45243 84.19670
105 67.17345 192.3208 255.0000 39.90709 46.79468 101.4811
349 71.20438 227.3397 226.0427 44.47347 62.34189 81.83554
305 79.58611 113.0281 0.000000 10.09055 14.36869 3.101764
343 192.4083 203.9635 91.78834 45.89825 55.64517 19.16248
430 26.19403 175.6575 202.5484 27.35104 36.07263 62.05538
125 23.82364 176.0933 124.8277 20.41232 33.42611 25.39361
504 134.2490 161.3275 113.9423 26.45226 32.58725 21.50497
251 103.7134 88.94706 226.2876 23.78242 16.41285 74.23432
526 202.1059 152.3500 233.7918 50.99111 41.66053 83.14777
218 53.92867 141.6259 161.1173 18.40394 23.36742 37.84600
193 0.000000 49.82988 186.6045 10.96097 6.778871 47.92928
224 186.5346 46.33615 0.000000 22.15767 13.36392 2.272261
102 215.5363 0.000000 220.0657 41.70089 20.50511 69.72035
420 21.46979 70.61230 179.7500 11.65406 8.827514 44.57913
512 181.3600 109.5007 23.92389 25.58027 21.76918 4.566129
330 202.9597 207.8223 177.9553 55.61401 61.31922 51.45481
599 49.17269 104.2408 104.3851 9.680882 12.49712 15.83362
667 136.5214 82.23206 235.8119 29.10444 18.21935 81.28937
405 49.93902 69.01225 132.8149 8.586125 7.556211 23.77484
202 37.03178 0.000000 66.51386 2.745192 1.785468 6.243006
100 174.8399 87.18582 0.000000 21.85724 16.78418 2.948293
334 53.95040 26.50719 154.8681 8.727319 4.867392 31.99181
158 146.5273 175.9784 0.000000 28.19640 37.82914 6.676712
56 255.0000 137.5722 255.0000 68.63894 47.07230 100.0214
8 0.000000 0.000000 0.000000 1.000000 1.000000 1.000000
564 168.5517 86.47172 49.10690 20.98783 16.18740 5.768176
623 18.72922 169.0949 235.6716 30.26845 35.23615 84.40716
443 94.21110 103.0209 115.5396 13.49056 14.21220 19.11661
607 198.7287 24.49440 19.08410 24.69858 13.70059 2.817279
34 95.39774 180.0147 0.000000 21.87570 35.75029 6.608332
257 102.3577 105.8854 153.9883 17.33045 16.30813 33.36526
302 169.9623 0.000000 214.1027 29.43508 14.26972 65.13358
604 199.9776 164.5826 208.3082 49.13393 44.17026 66.09109
473 186.9714 18.52488 94.86357 23.54458 12.71870 12.76401
523 183.3371 196.1371 44.72870 40.45239 50.33930 10.87756
429 224.5378 199.7019 105.0799 54.50998 58.54535 22.54603
129 207.4256 0.000000 0.000000 26.59431 14.19651 2.199305
161 255.0000 73.90782 145.7576 49.36680 28.93525 30.67764
413 80.93817 53.66380 77.29843 6.981753 5.845058 8.628138
360 31.35602 71.40935 44.53985 4.287115 5.990892 4.203068
173 255.0000 111.6190 114.9762 50.58781 34.66569 20.94206
134 129.1016 0.000000 67.51068 10.99690 6.036648 6.784309
262 255.0000 163.7731 217.6652 67.41989 53.24935 73.04688
661 194.2714 231.5210 145.2017 56.60872 71.28883 38.24821
560 18.72885 238.4838 107.3547 34.31760 63.00588 25.08634
531 185.9861 253.3938 28.36785 56.15705 81.21035 14.68887
236 255.0000 216.4039 83.88518 67.82493 71.50688 19.37319
407 0.000000 224.9429 224.0786 40.97457 59.61001 80.10080
140 208.6482 255.0000 255.0000 80.21107 92.31987 108.1461
548 114.1214 26.29282 203.8953 19.03695 9.605546 58.21895
231 187.6573 201.8007 150.5551 47.80901 55.46499 37.85509
266 123.1381 212.3580 210.0443 44.02846 56.57908 69.87253
184 161.4908 74.90166 188.5360 27.17901 17.13915 50.15284
228 54.39772 203.9572 230.7318 38.13938 50.21519 83.21580
335 25.90720 15.46301 103.3320 4.035560 2.543590 13.93235
345 40.44715 172.7516 0.000000 16.63188 30.94790 5.957515
643 40.77837 85.29622 215.1688 17.30172 12.80572 66.19967
288 60.75798 90.36899 27.63396 6.744622 9.356632 3.375869
123 172.4157 255.0000 0.000000 53.33988 80.53209 13.59536
375 52.71227 45.25923 187.6909 12.33176 7.200430 48.54297
29 168.0844 0.000000 0.000000 17.00579 9.252637 1.750003
461 27.60867 56.06243 223.7813 16.15859 9.360823 71.49896
463 168.0776 98.82364 88.58123 23.17334 18.75982 12.52886
498 237.3988 202.7961 135.5091 61.17182 62.82940 32.65177
529 239.4007 14.45439 14.51197 36.62054 19.59642 3.143288
416 34.27661 152.4242 64.19178 13.76899 24.07718 9.613899
399 215.3894 232.2796 166.6154 64.37828 75.40078 48.04399
585 233.2619 207.8418 205.9287 67.67057 67.18752 68.04620
660 126.3915 39.67019 26.36845 10.50497 6.977663 2.642581
352 38.87977 255.0000 218.3310 49.80150 77.25348 79.06061
